Sr.,Stock Name,Symbol,close,%_change,volume,Add Column
"284","Skipper Limited","SKIPPER","478.45","-1.49%","6,39,909",""
"285","Smartworks Coworking Spaces Ltd","SMARTWORKS","432.5","-1.49%","11,68,379",""
"286","Fabtech Technologies Ltd","FABTECH","168.63","-1.51%","5,03,251",""
"287","HBL Engineering Ltd","HBLENGINE","798.5","-1.53%","12,76,483",""
"288","Tata Power Company Limited","TATAPOWER","444.55","-1.54%","61,16,311",""
"289","Rail Vikas Nigam Ltd","RVNL","297.65","-1.54%","59,39,952",""
"290","Indian Renewable Energy Development Agency Ltd","IREDA","135.1","-1.54%","59,51,746",""
"291","Transrail Lighting Ltd","TRANSRAILL","598.95","-1.55%","9,79,031",""
"292","Kei Industries Limited","KEI","4,857.5","-1.57%","7,24,328",""
"293","Sambhv Steel Tubes Ltd","SAMBHV","118.71","-1.59%","7,21,649",""
"294","Lodha Developers Ltd","LODHA","897.9","-1.62%","29,76,918",""
"295","Paradeep Phosphates Ltd","PARADEEP","128.96","-1.62%","46,78,934",""
"296","Epack Durable Ltd","EPACK","279.32","-1.63%","30,18,213",""
"297","Punjab National Bank Ltd","PNB","109.36","-1.64%","1,63,91,067",""
"298","Samvardhana Motherson International Ltd","MOTHERSON","121.21","-1.65%","1,73,71,847",""
"299","Kaynes Technology India Ltd","KAYNES","4,044.4","-1.66%","9,52,161",""
"300","Viyash Scientific Ltd","VIYASH","203.74","-1.67%","5,65,510",""
"301","Marksans Pharma Limited","MARKSANS","184.63","-1.67%","6,10,116",""
"302","Tata Motors Commercial Vehicles Ltd","TMCV","409.9","-1.69%","58,46,832",""
"303","Pine Labs Ltd","PINELABS","193.71","-1.69%","8,89,801",""
"304","Fedbank Financial Services Ltd","FEDFINA","146.23","-1.69%","10,51,539",""
"305","Uno Minda Ltd","UNOMINDA","1,112.5","-1.71%","5,67,965",""
"306","Swiggy Ltd","SWIGGY","270.3","-1.71%","79,64,918",""
"307","Religare Enterprises Limited","RELIGARE","221.64","-1.71%","15,21,475",""
"308","Tvs Motor Company Limited","TVSMOTOR","3,492.9","-1.72%","9,47,815",""
"309","Jana Small Finance Bank Ltd","JSFB","458.15","-1.72%","11,35,453",""
"310","Sterling & Wilson Renewable Energy Ltd","SWSOLAR","208.34","-1.72%","16,61,944",""
"311","Jio Financial Services Ltd","JIOFIN","246.37","-1.73%","2,05,95,815",""
"312","Mahindra & Mahindra Limited","M&M","3,097.5","-1.74%","33,31,158",""
"313","Syrma SGS Technology Ltd","SYRMA","958.95","-1.75%","8,92,777",""
"314","Apex Frozen Foods Ltd","APEX","466.8","-1.75%","6,27,994",""
"315","Canara Bank Ltd","CANBK","134.65","-1.76%","2,00,09,501",""
"316","Aptus Value Housing Finance India Ltd","APTUS","260.14","-1.77%","5,92,066",""
"317","Amara Raja Energy & Mobility Ltd","ARE&M","874.55","-1.79%","5,40,584",""
"318","Bank Of Baroda Ltd","BANKBARODA","263.46","-1.79%","1,23,23,040",""
"319","Varun Beverages Limited","VBL","513.7","-1.8%","71,27,837",""
"320","Inox Green Energy Services Ltd","INOXGREEN","180.73","-1.82%","18,82,288",""
"321","Nippon Life India Asset Management Ltd","NAM-INDIA","1,009.95","-1.84%","18,56,773",""
"322","Rico Auto Industries Limited","RICOAUTO","113.14","-1.84%","9,20,578",""
